movie_id,title,release_date,genres
11846,Father of the Bride,1991-12-20,"['Comedy', 'Romance']"
32221,Rambling Rose,1991-09-10,['Drama']
10804,King Ralph,1991-02-15,['Comedy']
482134,The Loves of Lady Chatterley,1991-01-01,['Drama']
4539,Hearts of Darkness: A Filmmaker's Apocalypse,1991-11-27,['Documentary']
48636,Nekromantik 2,1991-05-07,"['Horror', 'Drama', 'Romance']"
10261,Switch,1991-05-10,"['Fantasy', 'Comedy']"
10750,Toy Soldiers,1991-04-24,"['Action', 'Adventure', 'Thriller']"
5233,Wild Orchid II: Two Shades of Blue,1991-10-31,"['Drama', 'Romance']"
2767,The Lovers on the Bridge,1991-10-16,"['Drama', 'Romance']"
9048,A Chinese Ghost Story III,1991-07-18,"['Action', 'Comedy', 'Fantasy']"
27769,Sometimes They Come Back,1991-05-07,"['Horror', 'TV Movie']"
8010,Highlander II: The Quickening,1991-01-13,"['Fantasy', 'Action', 'Adventure', 'Thriller']"
16790,Bingo,1991-08-09,"['Action', 'Adventure', 'Comedy', 'Family']"
39875,Popcorn,1991-02-01,"['Comedy', 'Horror']"
17474,The Man in the Moon,1991-09-30,"['Drama', 'Family', 'Romance']"
41805,V.I. Warshawski,1991-07-26,"['Crime', 'Mystery']"
10333,The Prince of Tides,1991-12-25,"['Drama', 'Romance']"
24789,Subspecies,1991-08-08,"['Horror', 'Fantasy']"
13122,The People Under the Stairs,1991-11-01,"['Horror', 'Comedy']"
11933,Nothing but Trouble,1991-02-15,"['Comedy', 'Adventure']"
406898,The Demon Wet Nurse,1992-03-12,['Drama']
812,Aladdin,1992-11-25,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Romance']"
8077,Alien³,1992-05-22,"['Science Fiction', 'Action', 'Horror']"
1107028,Xing Lin Chun Nuan,1992-04-11,['Drama']
500,Reservoir Dogs,1992-09-02,"['Crime', 'Thriller']"
172760,China Dolls,1992-01-01,"['Comedy', 'Crime', 'Drama']"
772,Home Alone 2: Lost in New York,1992-11-15,"['Comedy', 'Family', 'Adventure']"
11621,Porco Rosso,1992-07-18,"['Family', 'Comedy', 'Animation', 'Adventure']"
37265,All Ladies Do It,1992-02-21,"['Comedy', 'Drama']"
33,Unforgiven,1992-08-07,['Western']
2322,Sneakers,1992-09-09,"['Comedy', 'Crime', 'Drama']"
11428,Sleepwalkers,1992-04-10,"['Horror', 'Fantasy', 'Thriller']"
402,Basic Instinct,1992-03-20,"['Thriller', 'Mystery']"
26877,Naked Killer,1992-12-03,"['Action', 'Crime', 'Thriller']"
364,Batman Returns,1992-06-19,"['Action', 'Fantasy']"
39103,Dragon Ball Z: The Return of Cooler,1992-03-07,"['Action', 'Animation', 'Science Fiction']"
1923,Twin Peaks: Fire Walk with Me,1992-06-03,"['Drama', 'Mystery', 'Horror']"
105825,Erotic Ghost Story III,1992-03-05,"['Horror', 'Drama', 'Fantasy']"
11806,Beethoven,1992-04-03,"['Family', 'Comedy']"
108450,The Smile of the Fox,1992-05-22,"['Thriller', 'Drama', 'Romance']"
10995,The Lover,1992-01-22,"['Drama', 'Romance']"
881,A Few Good Men,1992-12-11,['Drama']
11134,Police Story 3: Super Cop,1992-07-04,"['Action', 'Crime', 'Thriller']"
10497,Bitter Moon,1992-09-02,"['Thriller', 'Drama', 'Romance']"
9374,Death Becomes Her,1992-07-30,"['Comedy', 'Fantasy', 'Horror']"
39104,Dragon Ball Z: Super Android 13!,1992-07-11,"['Action', 'Animation', 'Science Fiction']"
6114,Bram Stoker's Dracula,1992-11-13,"['Romance', 'Horror']"
766,Army of Darkness,1992-10-31,"['Fantasy', 'Horror', 'Comedy']"
9869,Patriot Games,1992-06-04,"['Drama', 'Action', 'Thriller', 'Crime']"
14239,Cool World,1992-07-10,"['Animation', 'Comedy', 'Fantasy']"
9876,Stop! Or My Mom Will Shoot,1992-02-21,"['Action', 'Comedy']"
2005,Sister Act,1992-05-28,"['Music', 'Comedy']"
9361,The Last of the Mohicans,1992-08-26,"['Action', 'Adventure', 'Drama', 'History', 'Romance', 'War']"
9475,Scent of a Woman,1992-12-23,['Drama']
619,The Bodyguard,1992-11-25,"['Action', 'Drama', 'Romance']"
16219,Gladiator,1992-03-06,"['Action', 'Drama']"
10206,Buffy the Vampire Slayer,1992-07-24,"['Action', 'Comedy', 'Horror']"
9529,Candyman,1992-10-16,"['Drama', 'Horror', 'Thriller']"
11782,Hard Boiled,1992-04-16,"['Action', 'Thriller', 'Crime']"
8293,Howards End,1992-03-13,"['Drama', 'Romance']"
16136,Juice,1992-01-17,"['Crime', 'Drama', 'Thriller']"
11012,Damage,1992-12-02,"['Drama', 'Romance']"
10377,My Cousin Vinny,1992-03-13,['Comedy']
10538,Passenger 57,1992-11-06,"['Action', 'Adventure', 'Thriller']"
15802,Tokyo Decadence,1992-01-06,['Drama']
943,Lethal Weapon 3,1992-05-15,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']"
9264,Poison Ivy,1992-05-08,"['Thriller', 'Drama']"
10618,Once Upon a Time in China II,1992-04-16,"['Action', 'Comedy']"
37021,Ranma ½: The Movie 2 — The Battle of Togenkyo: Rescue the Brides!,1992-08-02,"['Action', 'Comedy', 'Animation']"
11158,"Honey, I Blew Up the Kid",1992-07-16,"['Adventure', 'Comedy', 'Family', 'Science Fiction']"
17494,Unlawful Entry,1992-06-26,"['Crime', 'Mystery', 'Thriller']"
11287,A League of Their Own,1992-07-01,"['Comedy', 'Drama']"
11259,Far and Away,1992-05-22,"['Adventure', 'Drama', 'Romance', 'Western']"
8845,Under Siege,1992-10-08,"['Action', 'Thriller']"
22582,Tom and Jerry: The Movie,1992-10-01,"['Animation', 'Comedy', 'Family', 'Music']"
11066,Boomerang,1992-06-30,"['Comedy', 'Romance']"
12143,Bad Lieutenant,1992-11-20,"['Crime', 'Drama']"
1883,Malcolm X,1992-11-18,"['Drama', 'History']"
18764,Twin Dragons,1992-01-15,"['Comedy', 'Action']"
763,Braindead,1992-08-13,"['Horror', 'Comedy']"
13199,American Me,1992-03-13,"['Crime', 'Drama']"
293,A River Runs Through It,1992-10-09,"['Drama', 'Family']"
16314,3 Ninjas,1992-08-07,"['Family', 'Action', 'Adventure', 'Comedy']"
9349,Universal Soldier,1992-07-10,"['Thriller', 'Action', 'Science Fiction', 'Crime']"
10403,The Player,1992-04-03,"['Mystery', 'Drama', 'Comedy', 'Crime']"
9504,Glengarry Glen Ross,1992-09-15,"['Crime', 'Drama', 'Mystery']"
1492,1492: Conquest of Paradise,1992-10-09,"['Action', 'Adventure', 'Drama', 'History']"
10699,Hero,1992-10-02,"['Comedy', 'Drama']"
26255,Love Potion No. 9,1992-11-13,"['Comedy', 'Romance', 'Fantasy', 'Science Fiction']"
22004,Trespass,1992-12-25,"['Action', 'Thriller', 'Crime']"
2007,Lorenzo's Oil,1992-12-30,['Drama']
13006,Split Second,1992-05-01,"['Action', 'Crime', 'Horror', 'Science Fiction']"
10406,Encino Man,1992-05-22,['Comedy']
11597,Toys,1992-12-18,"['Family', 'Fantasy', 'Comedy', 'Science Fiction']"
10158,White Men Can't Jump,1992-03-27,"['Comedy', 'Drama']"
13153,Rapid Fire,1992-08-21,"['Action', 'Thriller']"
20676,Deep Cover,1992-04-15,"['Action', 'Thriller', 'Crime']"
134162,Doraemon: Nobita and the Kingdom of Clouds,1992-03-07,"['Animation', 'Fantasy', 'Family']"
53064,Midori,1992-05-02,"['Animation', 'Drama', 'Horror', 'Romance']"
11569,Hellraiser III: Hell on Earth,1992-09-11,"['Horror', 'Thriller']"
25748,Children of the Corn II: The Final Sacrifice,1992-01-29,['Horror']
9278,Freejack,1992-01-17,"['Science Fiction', 'Action', 'Crime', 'Drama']"
11087,The Hand that Rocks the Cradle,1992-01-10,"['Drama', 'Thriller']"
15300,Newsies,1992-04-10,"['Drama', 'Music', 'History', 'Family']"
10409,Strictly Ballroom,1992-08-20,"['Comedy', 'Drama', 'Romance']"
10326,Forever Young,1992-12-16,"['Adventure', 'Fantasy', 'Drama', 'Science Fiction', 'Romance']"
10435,Chaplin,1992-12-17,['Drama']
20763,Radio Flyer,1992-02-21,['Drama']
10906,Pet Sematary II,1992-08-28,['Horror']
9609,Of Mice and Men,1992-09-16,['Drama']
2470,Belle Époque,1992-12-04,"['Comedy', 'Drama', 'Romance']"
31962,Shining Through,1992-01-31,"['Drama', 'Romance', 'Thriller', 'War']"
10437,The Muppet Christmas Carol,1992-12-10,"['Music', 'Comedy', 'Family', 'Fantasy', 'Drama']"
108777,Dreaming About You,1992-10-23,"['Comedy', 'Romance']"
41671,Amityville 1992: It's About Time,1992-07-16,['Horror']
9605,Single White Female,1992-08-14,['Thriller']
13225,FernGully: The Last Rainforest,1992-04-10,"['Family', 'Fantasy', 'Animation', 'Adventure']"
11386,The Crying Game,1992-09-02,"['Crime', 'Drama', 'Thriller']"
16562,The Cutting Edge,1992-03-27,"['Romance', 'Comedy', 'Drama']"
4507,Jamon Jamon,1992-09-03,"['Comedy', 'Drama', 'Romance']"
424,Schindler's List,1993-12-15,"['Drama', 'History', 'War']"
34433,Dragon Ball Z: Broly – The Legendary Super Saiyan,1993-03-06,"['Animation', 'Science Fiction', 'Action']"
319,True Romance,1993-09-09,"['Action', 'Crime', 'Romance']"
253935,Emmanuelle 7,1993-09-19,"['Drama', 'Science Fiction']"
6279,Sister Act 2: Back in the Habit,1993-12-09,"['Music', 'Comedy']"
9739,Demolition Man,1993-10-08,"['Crime', 'Action', 'Science Fiction']"
9479,The Nightmare Before Christmas,1993-10-09,"['Fantasy', 'Animation', 'Family']"
2246,Malice,1993-09-29,['Thriller']
9702,Bound by Honor,1993-02-05,"['Crime', 'Action', 'Drama', 'Thriller']"
2758,Addams Family Values,1993-11-19,"['Comedy', 'Family', 'Fantasy']"
2019,Hard Target,1993-04-27,"['Action', 'Adventure', 'Crime', 'Thriller']"
1607,A Bronx Tale,1993-10-01,"['Drama', 'Crime']"
39105,Dragon Ball Z: Bojack Unbound,1993-07-10,"['Action', 'Animation', 'Science Fiction']"
11969,Tombstone,1993-12-25,"['Western', 'Action']"
10439,Hocus Pocus,1993-07-16,"['Fantasy', 'Comedy', 'Family']"
329,Jurassic Park,1993-06-11,"['Adventure', 'Science Fiction']"
37233,The Firm,1993-06-30,"['Drama', 'Mystery', 'Thriller']"
9944,The Pelican Brief,1993-09-17,['Thriller']
39324,Dragon Ball Z: The History of Trunks,1993-02-24,"['Animation', 'Action', 'Science Fiction']"
11041,The Beverly Hillbillies,1993-10-15,"['Comedy', 'Family']"
137,Groundhog Day,1993-02-11,"['Romance', 'Fantasy', 'Drama', 'Comedy']"
5550,RoboCop 3,1993-01-21,"['Action', 'Adventure', 'Crime', 'Science Fiction', 'Thriller']"
8291,Poetic Justice,1993-07-23,"['Drama', 'Romance']"
11528,The Sandlot,1993-04-07,"['Family', 'Comedy']"
